enrollment_id,time,event_access,event_discussion,event_navigate,event_page_close,event_problem,event_video,event_wiki
13797,2013-11-26,23,1,12,5,20,6,1
13797,2013-11-27,0,4,4,0,0,0,0
13797,2013-11-28,0,0,3,0,0,0,0
13797,2013-11-29,0,0,0,0,0,0,0
13797,2013-11-30,0,0,0,0,0,0,0
13797,2013-12-01,0,0,0,0,0,0,0
13797,2013-12-02,6,1,6,2,0,0,0
13797,2013-12-03,6,0,3,5,0,1,1
13797,2013-12-04,0,0,0,0,0,0,0
13797,2013-12-05,6,0,5,2,17,1,0
13797,2013-12-06,9,1,7,4,1,5,0
13797,2013-12-07,0,0,0,0,0,0,0
13797,2013-12-08,0,0,0,0,0,0,0
13797,2013-12-09,0,0,0,0,0,0,0
13797,2013-12-10,0,0,0,0,0,0,0
13797,2013-12-11,22,0,2,7,14,9,0
13797,2013-12-12,0,0,0,0,0,0,0
13797,2013-12-13,0,0,0,0,0,0,0
13797,2013-12-14,0,0,0,0,0,0,0
13797,2013-12-15,0,0,0,0,0,0,0
13797,2013-12-16,0,0,0,0,0,0,0
13797,2013-12-17,0,0,0,0,0,0,0
13797,2013-12-18,31,1,1,11,6,12,0
13797,2013-12-19,0,0,0,0,0,0,0
13797,2013-12-20,0,0,0,0,0,0,0
13797,2013-12-21,0,0,0,0,0,0,0
13797,2013-12-22,0,0,0,0,0,0,0
13797,2013-12-23,0,0,0,0,0,0,0
13797,2013-12-24,0,0,0,0,0,0,0
13797,2013-12-25,0,0,0,0,0,0,0
13798,2013-11-26,8,0,4,2,13,2,0
13798,2013-11-27,0,0,0,0,0,0,0
13798,2013-11-28,0,0,0,0,0,0,0
13798,2013-11-29,0,0,0,0,0,0,0
13798,2013-11-30,0,0,0,0,0,0,0
13798,2013-12-01,0,0,0,0,0,0,0
13798,2013-12-02,0,0,0,0,0,0,0
13798,2013-12-03,0,0,0,0,0,0,0
13798,2013-12-04,0,0,0,0,0,0,0
13798,2013-12-05,0,0,0,0,0,0,0
13798,2013-12-06,8,0,5,3,7,2,0
13798,2013-12-07,0,0,0,0,0,0,0
13798,2013-12-08,0,0,0,0,0,0,0
13798,2013-12-09,0,0,0,0,0,0,0
13798,2013-12-10,0,0,0,0,0,0,0
13798,2013-12-11,6,0,1,3,7,2,0
13798,2013-12-12,0,0,0,0,0,0,0
13798,2013-12-13,0,0,0,0,0,0,0
13798,2013-12-14,0,0,0,0,0,0,0
13798,2013-12-15,0,0,0,0,0,0,0
13798,2013-12-16,0,0,0,0,0,0,0
13798,2013-12-17,0,0,0,0,0,0,0
13798,2013-12-18,8,0,1,4,4,2,0
13798,2013-12-19,0,0,0,0,0,0,0
13798,2013-12-20,0,0,0,0,0,0,0
13798,2013-12-21,0,0,0,0,0,0,0
13798,2013-12-22,0,0,0,0,0,0,0
13798,2013-12-23,0,0,0,0,0,0,0
13798,2013-12-24,0,0,0,0,0,0,0
13798,2013-12-25,0,0,0,0,0,0,0
13799,2013-11-26,15,2,2,11,0,2,0
13799,2013-11-27,4,5,4,1,9,1,1
13799,2013-11-28,0,0,0,0,0,0,0
13799,2013-11-29,0,0,0,0,0,0,0
13799,2013-11-30,0,0,0,0,0,0,0
13799,2013-12-01,0,0,0,0,0,0,0
13799,2013-12-02,0,6,3,0,0,0,1
13799,2013-12-03,8,37,2,5,0,3,0
13799,2013-12-04,9,15,5,1,0,6,0
13799,2013-12-05,0,0,0,0,0,0,0
13799,2013-12-06,2,0,1,1,0,0,0
13799,2013-12-07,0,0,0,0,0,0,0
13799,2013-12-08,0,0,0,0,0,0,0
13799,2013-12-09,0,0,0,0,0,0,0
13799,2013-12-10,0,0,0,0,0,0,0
13799,2013-12-11,0,0,0,0,0,0,0
13799,2013-12-12,0,0,3,0,0,0,9
13799,2013-12-13,8,15,6,6,0,3,1
13799,2013-12-14,0,0,0,0,0,0,0
13799,2013-12-15,0,0,0,0,0,0,0
13799,2013-12-16,0,0,0,0,0,0,0
13799,2013-12-17,0,0,0,0,0,0,0
13799,2013-12-18,0,0,0,0,0,0,0
13799,2013-12-19,0,0,1,0,0,0,0
13799,2013-12-20,44,9,8,19,8,19,1
13799,2013-12-21,0,0,0,0,0,0,0
13799,2013-12-22,0,0,0,0,0,0,0
13799,2013-12-23,0,0,0,0,0,0,0
13799,2013-12-24,0,0,0,0,0,0,0
13799,2013-12-25,0,0,0,0,0,0,0
13800,2013-11-26,41,2,6,16,2,11,0
13800,2013-11-27,0,0,0,0,0,0,0
13800,2013-11-28,0,0,1,0,0,0,0
13800,2013-11-29,2,14,2,1,0,0,0
13800,2013-11-30,0,0,0,0,0,0,0
13800,2013-12-01,0,0,0,0,0,0,0
13800,2013-12-02,0,0,0,0,0,0,0
13800,2013-12-03,0,0,0,0,0,0,0
13800,2013-12-04,0,6,1,0,0,0,0
13800,2013-12-05,2,0,3,0,0,0,0
13800,2013-12-06,18,5,25,10,0,4,11
13800,2013-12-07,0,0,0,0,0,0,0
13800,2013-12-08,0,0,0,0,0,0,0
13800,2013-12-09,0,0,0,0,0,0,0
13800,2013-12-10,0,0,0,0,0,0,0
13800,2013-12-11,0,0,0,0,0,0,0
13800,2013-12-12,3,0,2,1,0,0,0
13800,2013-12-13,0,0,0,0,0,0,0
13800,2013-12-14,0,0,0,0,0,0,0
13800,2013-12-15,0,0,0,0,0,0,0
13800,2013-12-16,0,0,0,0,0,0,0
13800,2013-12-17,0,0,0,0,0,0,0
13800,2013-12-18,0,0,0,0,0,0,0
13800,2013-12-19,0,0,0,0,0,0,0
13800,2013-12-20,0,0,0,0,0,0,0
13800,2013-12-21,0,0,0,0,0,0,0
13800,2013-12-22,0,0,0,0,0,0,0
13800,2013-12-23,0,0,0,0,0,0,0
13800,2013-12-24,0,0,0,0,0,0,0
13800,2013-12-25,0,0,0,0,0,0,0
13817,2013-11-26,15,14,5,2,5,9,1
13817,2013-11-27,0,0,0,0,0,0,0
13817,2013-11-28,0,0,0,0,0,0,0
13817,2013-11-29,0,16,4,0,0,0,1
13817,2013-11-30,0,0,0,0,0,0,0
13817,2013-12-01,0,0,0,0,0,0,0
13817,2013-12-02,0,0,0,0,0,0,0
13817,2013-12-03,0,0,0,0,0,0,0
13817,2013-12-04,20,0,7,2,5,6,0
13817,2013-12-05,0,0,0,0,0,0,0
13817,2013-12-06,21,4,4,7,9,8,0
13817,2013-12-07,0,0,0,0,0,0,0
13817,2013-12-08,7,11,2,4,4,0,0
13817,2013-12-09,0,0,0,0,0,0,0
13817,2013-12-10,0,0,0,0,0,0,0
13817,2013-12-11,0,0,0,0,0,0,0
13817,2013-12-12,0,2,0,0,0,0,0
13817,2013-12-13,31,0,2,2,4,16,0
13817,2013-12-14,0,0,1,0,0,0,0
13817,2013-12-15,0,0,0,0,0,0,0
13817,2013-12-16,0,0,0,0,0,0,0
13817,2013-12-17,0,0,0,0,0,0,0
