enrollment_id,time,event_access,event_discussion,event_navigate,event_page_close,event_problem,event_video,event_wiki
4247,2014-05-25,0,0,0,0,0,0,0
4247,2014-05-26,2,0,2,1,0,1,0
4247,2014-05-27,4,9,10,1,0,0,1
4247,2014-05-28,0,0,0,0,0,0,0
4247,2014-05-29,2,16,2,0,0,0,0
4247,2014-05-30,15,6,7,1,14,2,1
4247,2014-05-31,0,0,0,0,0,0,0
4247,2014-06-01,0,0,0,0,0,0,0
4247,2014-06-02,25,11,3,12,3,9,0
4247,2014-06-03,0,0,0,0,0,0,0
4247,2014-06-04,0,0,0,0,0,0,0
4247,2014-06-05,0,0,0,0,0,0,0
4247,2014-06-06,0,0,0,0,0,0,0
4247,2014-06-07,0,0,0,0,0,0,0
4247,2014-06-08,0,0,0,0,0,0,0
4247,2014-06-09,90,25,21,35,0,5,1
4247,2014-06-10,0,0,0,0,0,0,0
4247,2014-06-11,0,0,0,0,0,0,0
4247,2014-06-12,0,0,0,0,0,0,0
4247,2014-06-13,0,0,0,0,0,0,0
4247,2014-06-14,0,0,0,0,0,0,0
4247,2014-06-15,0,0,0,0,0,0,0
4247,2014-06-16,67,9,4,28,0,5,0
4247,2014-06-17,19,6,2,7,0,4,0
4247,2014-06-18,7,7,3,1,0,1,0
4247,2014-06-19,0,0,0,0,0,0,0
4247,2014-06-20,2,4,2,1,0,0,0
4247,2014-06-21,0,0,0,0,0,0,0
4247,2014-06-22,2,3,3,0,0,0,0
4247,2014-06-23,66,2,4,1,0,1,0
4342,2014-05-25,0,0,0,0,0,0,0
4342,2014-05-26,0,0,0,0,0,0,0
4342,2014-05-27,0,0,0,0,0,0,0
4342,2014-05-28,0,0,0,0,0,0,0
4342,2014-05-29,0,0,0,0,0,0,0
4342,2014-05-30,0,0,0,0,0,0,0
4342,2014-05-31,0,0,0,0,0,0,0
4342,2014-06-01,0,0,0,0,0,0,0
4342,2014-06-02,0,0,0,0,0,0,0
4342,2014-06-03,0,0,2,0,0,0,0
4342,2014-06-04,0,0,0,0,0,0,0
4342,2014-06-05,0,0,0,0,0,0,0
4342,2014-06-06,7,0,2,1,0,1,0
4342,2014-06-07,24,16,6,1,30,2,0
4342,2014-06-08,5,0,1,1,4,1,0
