enrollment_id,time,event_access,event_discussion,event_navigate,event_page_close,event_problem,event_video,event_wiki
13818,2013-11-25,0,0,0,0,0,0,0
13818,2013-11-26,0,0,0,0,0,0,0
13818,2013-11-27,0,0,0,0,0,0,0
13818,2013-11-28,0,0,0,0,0,0,0
13818,2013-11-29,0,0,0,0,0,0,0
13818,2013-11-30,0,0,0,0,0,0,0
13818,2013-12-01,8,1,5,5,0,2,0
13818,2013-12-02,0,0,0,0,0,0,0
13818,2013-12-03,15,2,7,2,16,5,0
13818,2013-12-04,0,0,0,0,0,0,0
13818,2013-12-05,0,0,0,0,0,0,0
13818,2013-12-06,22,0,4,3,49,8,0
13818,2013-12-07,0,0,0,0,0,0,0
13818,2013-12-08,0,0,0,0,0,0,0
13818,2013-12-09,0,0,0,0,0,0,0
13818,2013-12-10,0,0,0,0,0,0,0
13818,2013-12-11,0,0,0,0,0,0,0
13818,2013-12-12,0,0,0,0,0,0,0
13818,2013-12-13,0,0,0,0,0,0,0
13818,2013-12-14,46,6,3,6,85,13,0
13818,2013-12-15,0,0,0,0,0,0,0
13818,2013-12-16,0,0,0,0,0,0,0
13818,2013-12-17,0,0,0,0,0,0,0
13818,2013-12-18,0,0,0,0,0,0,0
13818,2013-12-19,0,0,0,0,0,0,0
13818,2013-12-20,0,0,0,0,0,0,0
13818,2013-12-21,0,0,0,0,0,0,0
13818,2013-12-22,19,1,3,5,45,4,0
13818,2013-12-23,0,0,0,0,0,0,0
13818,2013-12-24,0,0,0,0,0,0,0
13821,2013-11-25,56,19,19,22,0,17,0
13821,2013-11-26,2,0,2,1,0,0,0
13821,2013-11-27,0,0,0,0,0,0,0
13821,2013-11-28,0,0,1,0,0,0,0
13821,2013-11-29,0,0,0,0,0,0,0
13821,2013-11-30,0,0,0,0,0,0,0
13821,2013-12-01,0,0,0,0,0,0,0
13821,2013-12-02,0,0,0,0,0,0,0
13821,2013-12-03,0,0,0,0,0,0,0
13821,2013-12-04,0,0,0,0,0,0,0
13821,2013-12-05,0,0,0,0,0,0,0
13821,2013-12-06,0,1,4,0,0,0,1
13821,2013-12-07,0,0,0,0,0,0,0
13821,2013-12-08,9,0,1,1,0,0,0
13821,2013-12-09,4,8,1,0,0,2,0
13821,2013-12-10,0,0,0,0,0,0,0
