enrollment_id,time,event_access,event_discussion,event_navigate,event_page_close,event_problem,event_video,event_wiki
4230,2014-05-29,0,0,0,0,0,0,0
4230,2014-05-30,0,0,0,0,0,0,0
4230,2014-05-31,5,0,3,2,0,1,0
4230,2014-06-01,0,0,0,0,0,0,0
4230,2014-06-02,0,0,0,0,0,0,0
4230,2014-06-03,0,0,0,0,0,0,0
4230,2014-06-04,0,0,0,0,0,0,0
4230,2014-06-05,18,0,1,17,7,6,0
4230,2014-06-06,0,0,0,0,0,0,0
4230,2014-06-07,0,0,0,0,0,0,0
4230,2014-06-08,0,0,0,0,0,0,0
4230,2014-06-09,3,0,2,1,0,0,0
4230,2014-06-10,0,0,0,0,0,0,0
4230,2014-06-11,0,0,0,0,0,0,0
4230,2014-06-12,2,0,1,1,0,0,0
4230,2014-06-13,0,0,0,0,0,0,0
4230,2014-06-14,38,7,2,29,3,13,0
4230,2014-06-15,0,0,2,0,0,0,0
4230,2014-06-16,0,0,0,0,0,0,0
4230,2014-06-17,7,0,4,4,4,0,0
4230,2014-06-18,0,0,0,0,0,0,0
4230,2014-06-19,0,0,0,0,0,0,0
4230,2014-06-20,0,0,0,0,0,0,0
4230,2014-06-21,0,0,0,0,0,0,0
4230,2014-06-22,10,0,2,7,0,4,0
4230,2014-06-23,0,0,0,0,0,0,0
4230,2014-06-24,0,0,0,0,0,0,0
4230,2014-06-25,0,0,0,0,0,0,0
4230,2014-06-26,0,0,0,0,0,0,0
4230,2014-06-27,0,0,0,0,0,0,0
4273,2014-05-29,0,0,0,0,0,0,0
4273,2014-05-30,29,8,25,7,0,5,2
4273,2014-05-31,18,12,9,1,9,0,0
4273,2014-06-01,0,0,1,0,0,0,0
4273,2014-06-02,0,0,0,0,0,0,0
4273,2014-06-03,3,0,1,1,0,0,0
4273,2014-06-04,0,0,0,0,0,0,0
4273,2014-06-05,0,0,0,0,0,0,0
4273,2014-06-06,2,1,1,1,0,0,0
4273,2014-06-07,0,0,0,0,0,0,0
4273,2014-06-08,9,3,2,1,0,1,0
4273,2014-06-09,6,0,3,2,0,1,0
4273,2014-06-10,0,0,0,0,0,0,0
4273,2014-06-11,0,0,0,0,0,0,0
4273,2014-06-12,0,0,0,0,0,0,0
4273,2014-06-13,0,0,0,0,0,0,0
4273,2014-06-14,0,0,0,0,0,0,0
4273,2014-06-15,0,0,0,0,0,0,0
4273,2014-06-16,0,0,0,0,0,0,0
4273,2014-06-17,0,0,0,0,0,0,0
4273,2014-06-18,0,0,0,0,0,0,0
4273,2014-06-19,0,0,0,0,0,0,0
4273,2014-06-20,0,0,0,0,0,0,0
4273,2014-06-21,26,10,4,1,11,1,0
4273,2014-06-22,0,0,0,0,0,0,0
4273,2014-06-23,0,0,0,0,0,0,0
4273,2014-06-24,0,0,0,0,0,0,0
4273,2014-06-25,0,0,0,0,0,0,0
4273,2014-06-26,0,0,0,0,0,0,0
4273,2014-06-27,0,0,0,0,0,0,0
4345,2014-05-29,0,0,0,0,0,0,0
4345,2014-05-30,0,0,0,0,0,0,0
4345,2014-05-31,32,16,7,27,4,20,1
4345,2014-06-01,0,0,0,0,0,0,0
4345,2014-06-02,0,0,0,0,0,0,0
4345,2014-06-03,0,0,0,0,0,0,0
4345,2014-06-04,0,0,0,0,0,0,0
4345,2014-06-05,0,0,0,0,0,0,0
4345,2014-06-06,0,0,0,0,0,0,0
4345,2014-06-07,0,0,0,0,0,0,0
4345,2014-06-08,3,0,1,1,0,0,0
4345,2014-06-09,22,11,1,19,3,16,0
4345,2014-06-10,0,0,0,0,0,0,0
4345,2014-06-11,0,0,0,0,0,0,0
4345,2014-06-12,0,0,0,0,0,0,0
4345,2014-06-13,0,0,0,0,0,0,0
4345,2014-06-14,0,0,0,0,0,0,0
4345,2014-06-15,4,0,2,3,0,0,0
4345,2014-06-16,0,0,0,0,0,0,0
4345,2014-06-17,0,0,0,0,0,0,0
4345,2014-06-18,0,0,0,0,0,0,0
4345,2014-06-19,0,0,0,0,0,0,0
4345,2014-06-20,0,0,0,0,0,0,0
4345,2014-06-21,0,0,0,0,0,0,0
4345,2014-06-22,2,0,1,1,0,0,0
4345,2014-06-23,0,0,0,0,0,0,0
4345,2014-06-24,0,0,0,0,0,0,0
4345,2014-06-25,0,0,0,0,0,0,0
4345,2014-06-26,0,0,0,0,0,0,0
4345,2014-06-27,0,0,0,0,0,0,0
4575,2014-05-29,0,0,0,0,0,0,0
4575,2014-05-30,0,0,0,0,0,0,0
4575,2014-05-31,28,3,18,1,0,1,0
4575,2014-06-01,4,0,2,0,0,0,0
4575,2014-06-02,0,0,0,0,0,0,0
4575,2014-06-03,0,0,0,0,0,0,0
4575,2014-06-04,0,0,0,0,0,0,0
4575,2014-06-05,0,0,0,0,0,0,0
4575,2014-06-06,0,0,0,0,0,0,0
4575,2014-06-07,0,0,0,0,0,0,0
4575,2014-06-08,0,0,0,0,0,0,0
4575,2014-06-09,4,0,3,0,0,0,0
4575,2014-06-10,30,0,1,1,0,1,0
4575,2014-06-11,0,0,0,0,0,0,0
4575,2014-06-12,0,0,0,0,0,0,0
4575,2014-06-13,0,0,0,0,0,0,0
4575,2014-06-14,0,0,0,0,0,0,0
4575,2014-06-15,0,0,0,0,0,0,0
4575,2014-06-16,0,0,0,0,0,0,0
4575,2014-06-17,0,0,0,0,0,0,0
4575,2014-06-18,0,0,0,0,0,0,0
4575,2014-06-19,0,0,0,0,0,0,0
4575,2014-06-20,0,0,0,0,0,0,0
4575,2014-06-21,0,0,0,0,0,0,0
4575,2014-06-22,0,0,0,0,0,0,0
4575,2014-06-23,0,0,0,0,0,0,0
4575,2014-06-24,23,0,1,22,0,21,0
4575,2014-06-25,0,0,0,0,0,0,0
4575,2014-06-26,0,0,0,0,0,0,0
4575,2014-06-27,0,0,0,0,0,0,0
4626,2014-05-29,0,0,0,0,0,0,0
4626,2014-05-30,0,0,0,0,0,0,0
4626,2014-05-31,0,0,0,0,0,0,0
4626,2014-06-01,0,0,0,0,0,0,0
4626,2014-06-02,0,0,0,0,0,0,0
4626,2014-06-03,0,0,1,0,0,0,0
4626,2014-06-04,0,0,0,0,0,0,0
4626,2014-06-05,17,12,5,0,2,0,0
4626,2014-06-06,0,0,0,0,0,0,0
4626,2014-06-07,0,0,0,0,0,0,0
4626,2014-06-08,25,14,9,0,0,1,1
4626,2014-06-09,18,49,13,0,5,0,2
4626,2014-06-10,0,5,1,0,0,0,0
4626,2014-06-11,2,7,6,0,0,0,0
4626,2014-06-12,2,1,2,0,0,0,0
4626,2014-06-13,3,8,4,0,1,0,0
4626,2014-06-14,0,0,0,0,0,0,0
4626,2014-06-15,0,0,0,0,0,0,0
4626,2014-06-16,0,0,0,0,0,0,0
4626,2014-06-17,0,0,0,0,0,0,0
4626,2014-06-18,0,0,0,0,0,0,0
4626,2014-06-19,0,0,0,0,0,0,0
4626,2014-06-20,17,6,9,0,4,0,1
4626,2014-06-21,0,0,0,0,0,0,0
4626,2014-06-22,0,0,0,0,0,0,0
4626,2014-06-23,0,0,0,0,0,0,0
4626,2014-06-24,3,0,2,0,0,0,0
4626,2014-06-25,0,0,0,0,0,0,0
4626,2014-06-26,0,0,0,0,0,0,0
4626,2014-06-27,0,0,0,0,0,0,0
4759,2014-05-29,0,0,0,0,0,0,0
4759,2014-05-30,0,0,0,0,0,0,0
4759,2014-05-31,0,0,0,0,0,0,0
4759,2014-06-01,0,0,0,0,0,0,0
4759,2014-06-02,0,0,0,0,0,0,0
4759,2014-06-03,0,0,0,0,0,0,0
4759,2014-06-04,0,0,0,0,0,0,0
4759,2014-06-05,0,0,0,0,0,0,0
4759,2014-06-06,0,0,0,0,0,0,0
4759,2014-06-07,0,0,0,0,0,0,0
