enrollment_id,time,event_access,event_discussion,event_navigate,event_page_close,event_problem,event_video,event_wiki
3,2014-06-19,7,0,4,2,14,1,0
3,2014-06-20,0,0,0,0,0,0,0
3,2014-06-21,0,0,0,0,0,0,0
3,2014-06-22,0,0,0,0,0,0,0
3,2014-06-23,2,0,1,0,0,0,0
3,2014-06-24,0,0,0,0,0,0,0
3,2014-06-25,0,0,0,0,0,0,0
3,2014-06-26,11,0,1,5,13,0,0
3,2014-06-27,0,0,0,0,0,0,0
3,2014-06-28,0,0,0,0,0,0,0
3,2014-06-29,0,0,0,0,0,0,0
3,2014-06-30,0,0,0,0,0,0,0
3,2014-07-01,6,0,2,2,0,0,0
3,2014-07-02,10,0,1,5,28,4,0
3,2014-07-03,0,0,0,0,0,0,0
3,2014-07-04,13,12,1,6,28,4,0
3,2014-07-05,0,0,0,0,0,0,0
3,2014-07-06,0,0,0,0,0,0,0
3,2014-07-07,2,9,1,0,0,0,0
3,2014-07-08,0,0,0,0,0,0,0
3,2014-07-09,0,0,0,0,0,0,0
3,2014-07-10,0,0,0,0,0,0,0
3,2014-07-11,0,0,0,0,0,0,0
3,2014-07-12,12,0,1,1,22,0,0
3,2014-07-13,0,0,0,0,0,0,0
3,2014-07-14,0,0,0,0,0,0,0
3,2014-07-15,0,0,0,0,0,0,0
3,2014-07-16,0,0,0,0,0,0,0
3,2014-07-17,16,5,2,1,33,0,0
3,2014-07-18,0,0,0,0,0,0,0
5,2014-06-19,0,0,2,0,0,0,0
5,2014-06-20,0,0,0,0,0,0,0
5,2014-06-21,53,5,9,20,45,13,0
5,2014-06-22,0,0,0,0,0,0,0
5,2014-06-23,0,0,0,0,0,0,0
5,2014-06-24,0,0,0,0,0,0,0
5,2014-06-25,0,0,0,0,0,0,0
5,2014-06-26,0,0,0,0,0,0,0
5,2014-06-27,0,0,0,0,0,0,0
5,2014-06-28,0,0,0,0,0,0,0
5,2014-06-29,14,0,1,10,2,5,0
5,2014-06-30,55,12,3,21,26,25,0
5,2014-07-01,18,2,5,9,39,4,0
