enrollment_id,time,event_access,event_discussion,event_navigate,event_page_close,event_problem,event_video,event_wiki
46,2014-06-15,0,0,0,0,0,0,0
46,2014-06-16,0,0,0,0,0,0,0
46,2014-06-17,0,0,0,0,0,0,0
46,2014-06-18,0,0,0,0,0,0,0
46,2014-06-19,0,0,0,0,0,0,0
46,2014-06-20,0,0,0,0,0,0,0
46,2014-06-21,0,0,0,0,0,0,0
46,2014-06-22,0,0,0,0,0,0,0
46,2014-06-23,0,0,0,0,0,0,0
46,2014-06-24,0,0,0,0,0,0,0
46,2014-06-25,0,0,0,0,0,0,0
46,2014-06-26,0,0,0,0,0,0,0
46,2014-06-27,0,0,0,0,0,0,0
46,2014-06-28,0,0,0,0,0,0,0
46,2014-06-29,0,0,0,0,0,0,0
46,2014-06-30,0,0,0,0,0,0,0
46,2014-07-01,0,0,0,0,0,0,0
46,2014-07-02,0,0,1,0,0,0,0
46,2014-07-03,0,0,0,0,0,0,0
46,2014-07-04,0,0,0,0,0,0,0
46,2014-07-05,0,0,0,0,0,0,0
46,2014-07-06,0,0,0,0,0,0,0
46,2014-07-07,0,0,0,0,0,0,0
46,2014-07-08,0,0,0,0,0,0,0
46,2014-07-09,0,0,0,0,0,0,0
46,2014-07-10,0,0,0,0,0,0,0
46,2014-07-11,0,0,0,0,0,0,0
46,2014-07-12,0,0,0,0,0,0,0
46,2014-07-13,0,0,0,0,0,0,0
46,2014-07-14,0,0,0,0,0,0,0
193,2014-06-15,0,0,0,0,0,0,0
193,2014-06-16,0,0,0,0,0,0,0
193,2014-06-17,0,0,0,0,0,0,0
193,2014-06-18,0,0,0,0,0,0,0
193,2014-06-19,0,0,0,0,0,0,0
193,2014-06-20,0,0,0,0,0,0,0
193,2014-06-21,0,0,0,0,0,0,0
193,2014-06-22,0,0,0,0,0,0,0
193,2014-06-23,0,0,0,0,0,0,0
193,2014-06-24,0,0,0,0,0,0,0
193,2014-06-25,0,0,0,0,0,0,0
193,2014-06-26,0,0,0,0,0,0,0
193,2014-06-27,0,0,0,0,0,0,0
193,2014-06-28,0,0,0,0,0,0,0
193,2014-06-29,0,0,0,0,0,0,0
193,2014-06-30,0,0,0,0,0,0,0
193,2014-07-01,0,0,0,0,0,0,0
193,2014-07-02,3,0,4,2,0,2,0
193,2014-07-03,0,0,0,0,0,0,0
193,2014-07-04,0,0,0,0,0,0,0
193,2014-07-05,0,0,0,0,0,0,0
